t,avg,var
87,50.6055,9.70362e-28
87,50.6055,9.70362e-28
87,50.6055,9.70362e-28
87,50.6055,9.70362e-28
88,50.6055,9.70362e-28
88,50.6055,9.70362e-28
88,50.6055,9.70362e-28
88,50.6055,9.70362e-28
88,50.6055,9.70362e-28
88,50.6055,9.70362e-28
88,50.6055,9.70362e-28
88,50.6055,9.70362e-28
88,50.6055,9.70362e-28
88,50.6055,9.70362e-28
89,50.6055,9.70362e-28
89,50.6055,9.70362e-28
89,50.6055,9.70362e-28
89,50.6055,9.70362e-28
89,50.6055,9.70362e-28
89,50.6055,9.70362e-28
89,50.6055,9.70362e-28
89,50.6055,9.70362e-28
89,50.6055,9.70362e-28
89,50.6055,9.70362e-28
90,50.6055,9.70362e-28
90,50.6055,9.70362e-28
90,50.6055,9.70362e-28
90,50.6055,9.70362e-28
90,50.6055,9.70362e-28
90,50.6055,9.70362e-28
90,50.6055,9.70362e-28
90,50.6055,9.70362e-28
90,50.6055,9.70362e-28
90,50.6055,9.70362e-28
91,50.6055,9.70362e-28
91,50.6055,9.70362e-28
91,50.6055,9.70362e-28
91,50.6055,9.70362e-28
91,50.6055,9.70362e-28
91,50.6055,9.70362e-28
91,50.6055,9.70362e-28
91,50.6055,9.70362e-28
91,50.6055,9.70362e-28
91,50.6055,9.70362e-28
92,50.6055,9.70362e-28
92,50.6055,9.70362e-28
92,50.6055,9.70362e-28
92,50.6055,9.70362e-28
92,50.6055,9.70362e-28
92,50.6055,9.70362e-28
92,50.6055,9.70362e-28
92,50.6055,9.70362e-28
92,50.6055,9.70362e-28
92,50.6055,9.70362e-28
93,50.6055,9.70362e-28
93,50.6055,9.70362e-28
93,50.6055,9.70362e-28
93,50.6055,9.70362e-28
93,50.6055,9.70362e-28
93,50.6055,9.70362e-28
93,50.6055,9.70362e-28
93,50.6055,9.70362e-28
93,50.6055,9.70362e-28
93,50.6055,9.70362e-28
94,50.6055,9.70362e-28
94,50.6055,9.70362e-28
94,50.6055,9.70362e-28
94,50.6055,9.70362e-28
94,50.6055,9.70362e-28
94,50.6055,9.70362e-28
94,50.6055,9.70362e-28
94,50.6055,9.70362e-28
