t,mean_latency,var_latency,queue_size
674,0.199284,0.0025254,1000
675,0.200501,0.00257684,1000
676,0.200431,0.00244965,1000
677,0.199668,0.00250379,1000
678,0.200243,0.0024239,1000
679,0.20133,0.00252802,1000
680,0.198616,0.00250917,1000
681,0.198412,0.00240116,1000
682,0.198969,0.00256221,1000
683,0.199643,0.00266166,1000
684,0.200634,0.00265327,1000
685,0.199685,0.00243075,1000
686,0.20035,0.00262932,1000
687,0.200178,0.00254713,1000
688,0.200382,0.00253948,1000
689,0.200587,0.00251355,1000
690,0.200478,0.00249967,1000
691,0.202662,0.0024955,1000
692,0.201556,0.00255263,1000
693,0.200281,0.00250359,1000
694,0.1993,0.0025548,1000
695,0.199261,0.00256355,1000
696,0.200734,0.00248867,1000
697,0.201289,0.0025039,1000
698,0.199261,0.00242809,1000
699,0.200114,0.00239046,1000
700,0.19871,0.00253273,1000
701,0.198711,0.00235735,1000
702,0.200561,0.00246985,1000
703,0.201412,0.00250068,1000
704,0.198633,0.00255761,1000
705,0.19925,0.00247945,1000
706,0.200724,0.00253443,1000
707,0.200973,0.00262084,1000
708,0.198306,0.00248019,1000
709,0.199339,0.00241846,1000
710,0.199568,0.00240633,1000
711,0.198437,0.00259178,1000
712,0.20143,0.00251976,1000
713,0.200891,0.0026733,1000
714,0.199038,0.00241136,1000
715,0.198318,0.00247695,1000
716,0.199428,0.00232583,1000
717,0.199915,0.00247789,1000
718,0.199638,0.00260824,1000
719,0.198748,0.00247391,1000
720,0.200205,0.00259687,1000
721,0.199859,0.00252629,1000
722,0.199679,0.00250166,1000
723,0.199784,0.00247074,1000
724,0.2011,0.00246956,1000
725,0.199586,0.00249818,1000
726,0.200998,0.00248919,1000
727,0.199278,0.00245418,1000
728,0.200884,0.00242021,1000
729,0.20037,0.00261562,1000
730,0.202867,0.00260387,1000
731,0.20029,0.00246686,1000
732,0.200975,0.00249011,1000
733,0.199572,0.00265009,1000
734,0.20171,0.00254122,1000
735,0.199421,0.00257332,1000
736,0.200893,0.00252924,1000
737,0.199799,0.00244785,1000
738,0.199442,0.00253336,1000
739,0.201116,0.00252665,1000
740,0.199932,0.00246191,1000
741,0.198378,0.00243848,1000
742,0.200231,0.00257404,1000
743,0.200677,0.00247645,1000
744,0.199028,0.0024254,1000
745,0.198817,0.00255501,1000
746,0.198862,0.00250589,1000
747,0.201438,0.00252184,1000
748,0.197796,0.0025581,1000
749,0.1995,0.00242777,1000
750,0.200632,0.002462,1000
751,0.199063,0.00241064,1000
752,0.201271,0.00250037,1000
753,0.198123,0.00244339,1000
754,0.201064,0.00240283,1000
755,0.198611,0.00232968,1000
756,0.198722,0.00255415,1000
757,0.199104,0.00250747,1000
758,0.197714,0.00238651,1000
759,0.200024,0.00242591,1000
760,0.198869,0.00244411,1000
761,0.200236,0.00262319,1000
762,0.199968,0.00251943,1000
763,0.201294,0.00247176,1000
764,0.200981,0.00263568,1000
765,0.19975,0.00240074,1000
766,0.200031,0.00247335,1000
767,0.200786,0.00249119,1000
768,0.200606,0.00247917,1000
769,0.199183,0.00259615,1000
770,0.200389,0.00244445,1000
771,0.20038,0.00243254,1000
772,0.199292,0.00250814,1000
773,0.198154,0.00256914,1000
774,0.198828,0.00252321,1000
775,0.200946,0.00250262,1000
776,0.19904,0.00244327,1000
777,0.19964,0.00259837,1000
778,0.199445,0.00236172,1000
779,0.19939,0.00235775,1000
780,0.200816,0.00254714,1000
781,0.198531,0.00248409,1000
782,0.199149,0.00249405,1000
783,0.199619,0.00246547,1000
784,0.198629,0.00266878,1000
785,0.199356,0.00257844,1000
786,0.197749,0.00249221,1000
787,0.201171,0.00264582,1000
788,0.200982,0.00258834,1000
789,0.19984,0.00243472,1000
790,0.199335,0.00255707,1000
791,0.199877,0.00242587,1000
792,0.200068,0.00240779,1000
793,0.200122,0.00246498,1000
794,0.200032,0.00250987,1000
795,0.200927,0.00243209,1000
796,0.200673,0.00235979,1000
797,0.198423,0.00244744,1000
798,0.201942,0.00242788,1000
799,0.201034,0.00241061,1000
800,0.199364,0.00240207,1000
801,0.198049,0.00251527,1000
802,0.198409,0.00249232,1000
803,0.200275,0.00244244,1000
804,0.20121,0.00252716,1000
805,0.199878,0.0024674,1000
806,0.200243,0.00254793,1000
807,0.202151,0.00251985,1000
808,0.198156,0.00244678,1000
809,0.200578,0.00250681,1000
810,0.201609,0.00243784,1000
